-5.875,18.75,63.375,0.0033,-0.0022,-0.0033,0.17,-0.45,-9.86,0.0,0.0,0.0,0.0,0.0,0.0
-6.25,18.0625,63.0,0.0011,0.0,-0.0011,0.17,-0.41,-9.83,0.0,0.0,0.0,0.0,0.0,0.0
-5.875,17.375,61.375,0.0022,0.0011,-0.0011,0.18,-0.43,-9.85,0.0,0.0,0.0,0.0,0.0,0.0
-5.875,17.375,62.5625,0.0022,0.0011,-0.0011,0.19,-0.42,-9.86,0.0,0.0,0.0,0.0,0.0,0.0
-7.0,17.75,63.0,0.0011,0.0011,-0.0033,0.17,-0.44,-9.8,0.0,0.0,0.0,0.0,0.0,0.0
-7.0,17.75,61.75,0.0011,0.0,0.0011,0.18,-0.42,-9.86,0.0,0.0,0.0,0.0,0.0,0.0
-6.5625,18.0625,63.375,0.0,-0.0044,-0.0011,0.17,-0.41,-9.83,0.0,0.0,0.0,0.0,0.0,0.0
-5.0625,18.0625,62.5625,0.0,0.0022,-0.0022,0.16,-0.42,-9.92,0.0,0.0,0.0,0.0,0.0,0.0
-6.25,17.75,63.0625,0.0011,0.0011,-0.0044,0.17,-0.42,-9.84,0.0,0.0,0.0,0.0,0.0,0.0
-6.5625,18.375,62.25,0.0022,0.0033,0.0,0.17,-0.43,-9.88,0.0,0.0,0.0,0.0,0.0,0.0
-5.0625,17.75,61.0625,0.0011,0.0022,0.0022,0.15,-0.43,-9.79,0.0,0.0,0.0,0.0,0.0,0.0
-6.25,18.0625,61.875,0.0022,-0.0011,-0.0011,0.18,-0.43,-9.82,0.0,0.0,0.0,0.0,0.0,0.0
-6.5625,18.375,63.0625,0.0044,0.0022,-0.0033,0.15,-0.41,-9.8,0.0,0.0,0.0,0.0,0.0,0.0
-5.875,17.75,62.6875,0.0022,0.0022,-0.0033,0.2,-0.42,-9.88,0.0,0.0,0.0,0.0,0.0,0.0
-8.0625,17.375,62.25,0.0022,0.0,-0.0033,0.18,-0.43,-9.79,0.0,0.0,0.0,0.0,0.0,0.0
-6.25,17.375,62.25,0.0011,0.0033,-0.0011,0.18,-0.4,-9.8,0.0,0.0,0.0,0.0,0.0,0.0
-6.5625,18.0625,62.25,0.0,0.0011,-0.0011,0.17,-0.42,-9.82,0.0,0.0,0.0,0.0,0.0,0.0
-5.5,18.0625,63.0625,0.0022,0.0,-0.0022,0.14,-0.39,317.88,0.0,0.0,0.0,0.0,0.0,0.0
-6.25,18.0625,63.375,0.0022,0.0011,-0.0022,0.16,-0.45,-9.87,0.0,0.0,0.0,0.0,0.0,0.0
-5.5,17.75,62.25,0.0,-0.0011,0.0,0.19,-0.43,-9.83,0.0,0.0,0.0,0.0,0.0,0.0
-4.75,17.0,62.6875,-0.0022,0.0011,0.0011,0.17,-0.44,-9.84,0.0,0.0,0.0,0.0,0.0,0.0
-4.75,17.75,62.6875,0.0044,0.0022,0.0,0.19,-0.43,-9.91,0.0,0.0,0.0,0.0,0.0,0.0
-5.5,17.75,61.875,0.0033,0.0,0.0022,0.15,-0.41,-9.82,0.0,0.0,0.0,0.0,0.0,0.0
-5.5,18.0625,62.6875,0.0022,0.0011,-0.0022,0.18,-0.41,-9.85,0.0,0.0,0.0,0.0,0.0,0.0
-7.375,17.75,61.875,0.0022,0.0011,-0.0011,0.19,-0.43,-9.81,0.0,0.0,0.0,0.0,0.0,0.0
-5.5,18.75,63.0625,0.0,0.0022,-0.0011,0.19,-0.41,-9.89,0.0,0.0,0.0,0.0,0.0,0.0
-5.0625,18.375,62.6875,0.0011,0.0033,-0.0011,0.17,-0.41,-9.84,0.0,0.0,0.0,0.0,0.0,0.0
-5.0625,18.0625,62.6875,0.0033,0.0,-0.0011,0.17,-0.42,-9.82,0.0,0.0,0.0,0.0,0.0,0.0
-5.0625,18.375,63.0625,0.0033,0.0044,-0.0022,0.17,-0.43,-9.8,0.0,0.0,0.0,0.0,0.0,0.0
-5.0625,17.75,61.875,0.0011,0.0011,-0.0056,0.16,-0.4,-9.9,0.0,0.0,0.0,0.0,0.0,0.0
-6.5625,18.375,63.0625,0.0,0.0022,-0.0011,0.17,-0.43,-9.88,0.0,0.0,0.0,0.0,0.0,0.0
-6.25,18.0625,62.6875,0.0011,0.0011,-0.0022,0.17,-0.42,-9.83,0.0,0.0,0.0,0.0,0.0,0.0
-5.0625,18.375,61.5625,0.0022,0.0033,-0.0011,0.18,-0.43,-9.84,0.0,0.0,0.0,0.0,0.0,0.0
