21.4,94079,621.52
21.5,94079,621.52
21.5,94073,622.05
21.5,94076,621.79
21.6,94070,622.32
21.6,94075,621.88
21.6,94075,621.88
21.6,94088,620.73
21.7,94086,620.9
21.7,94080,621.43
21.8,94084,621.08
21.8,94078,621.61
21.9,94080,621.43
21.9,94083,621.17
22.0,94081,621.35
22.1,94079,621.52
22.2,94082,621.26
22.2,94073,622.05
22.3,94084,621.08
22.3,94087,620.81
22.4,94081,621.35
22.4,94081,621.35
22.4,94088,620.73
22.5,94083,621.17
22.5,94084,621.08
22.6,94090,620.55
22.7,94087,620.81
22.7,94089,620.64
22.7,94085,620.99
22.8,94085,620.99
22.8,94084,621.08
22.8,94089,620.64
22.9,94090,620.55
22.9,94089,620.64
22.9,94082,621.26
23.0,94082,621.26
23.0,94084,621.08
23.0,94086,620.9
23.1,94081,621.35
23.1,94094,620.2
23.1,94090,620.55
23.2,94090,620.55
23.2,94093,620.28
23.2,94091,620.46
23.3,94089,620.64
23.3,94086,620.9
23.3,94093,620.28
23.3,94092,620.37
23.3,94091,620.46
23.4,94088,620.73
23.4,94087,620.81
23.4,94087,620.81
23.4,94085,620.99
23.5,94088,620.73
23.5,94090,620.55
23.5,94087,620.81
23.5,94084,621.08
23.5,94085,620.99
23.5,94094,620.2
23.6,94091,620.46
23.6,94105,619.22
23.6,94100,619.67
23.6,94104,619.31
23.5,94098,619.84
23.5,94102,619.49
23.5,94103,619.4
23.4,94098,619.84
23.3,94107,619.05
23.3,94104,619.31
23.2,94104,619.31
23.2,94103,619.4
23.2,94099,619.75
23.1,94102,619.49
23.1,94101,619.58
23.0,94101,619.58
23.0,94097,619.93
22.9,94102,619.49
22.9,94134,616.66
22.8,94156,614.72
22.8,94182,612.42
22.8,94211,609.86
22.8,94234,607.83
22.8,94248,606.59
22.7,94246,606.77
22.6,94250,606.42
22.5,94245,606.86
22.4,94248,606.59
22.4,94244,606.94
22.4,94242,607.12
22.4,94243,607.03
22.4,94245,606.86
22.2,94244,606.94
21.1,94242,607.12
19.0,94234,607.83
16.6,94223,608.8
15.1,94211,609.86
14.0,94216,609.42
12.5,94209,610.04
11.5,94192,611.54
10.9,94195,611.27
10.1,94190,611.71
9.2,94186,612.07
7.8,94182,612.42
7.0,94168,613.66
6.2,94167,613.75
5.0,94166,613.83
4.4,94151,615.16
3.7,94159,614.45
3.3,94140,616.13
3.1,94147,615.51
2.5,94141,616.04
2.0,94141,616.04
1.7,94139,616.22
1.5,94138,616.31
1.3,94133,616.75
1.2,94136,616.48
0.9,94129,617.1
0.8,94124,617.54
0.7,94128,617.19
0.5,94128,617.19
0.4,94112,618.61
0.3,94127,617.28
0.2,94128,617.19
0.0,94130,617.01
-0.1,94126,617.37
-0.3,94122,617.72
-0.4,94127,617.28
-0.6,94125,617.46
-0.8,94122,617.72
-0.9,94123,617.63
-1.0,94124,617.54
-1.1,94117,618.16
-0.9,94120,617.9
-0.8,94123,617.63
-0.8,94120,617.9
